"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"El Dorado County, California",681.6357142857144,681.6357142857144,0.0,0.0,1.0,132112.0,379.3428571428571,379.3428571428571,0.0,0.0,1.0,29573.0
"El Paso County, Colorado",6848.942857142857,6848.942857142857,0.0,0.0,1.0,463588.0,2111.6892857142852,2111.6892857142852,0.0,0.0,1.0,118323.0
"El Paso County, Texas",2469.7285714285713,2469.7285714285713,0.0,0.0,1.0,503437.0,2465.8999999999996,2465.8999999999996,0.0,0.0,1.0,98170.0
"Elbert County, Colorado",207.07142857142853,207.07142857142853,0.0,0.0,1.0,20579.0,-79.52344861021265,-96.54461861668096,-17.02117000646466,-17.02117000646466,0.0,2315.0
"Elbert County, Georgia","","","","","",11129.0,55.49285714285715,55.49285714285715,0.0,0.0,1.0,3204.0
"Elk County, Kansas",-28.400000000000002,-28.400000000000002,0.0,0.0,1.0,1637.0,"","","","","",384.0
"Elk County, Pennsylvania",-151.35714285714283,-151.35714285714283,0.0,0.0,1.0,18346.0,83.56071428571427,83.56071428571427,0.0,0.0,1.0,6156.0
"Elkhart County, Indiana",-693.0340348482132,-1209.8534878790379,-474.18169544040575,-559.4572107772401,0.0,127978.0,316.74999999999994,316.74999999999994,0.0,0.0,1.0,29172.0
"Elko County, Nevada","","","","","",34832.0,127.6535714285714,127.6535714285714,0.0,0.0,1.0,7599.0
"Elliott County, Kentucky",-149.89200669899583,-228.6015161164105,-71.93072610903982,-85.4882927249746,0.0,3739.0,"","","","","",930.0
"Ellis County, Kansas","","","","","",16791.0,-179.14095022625406,-214.37753716872248,-35.23658694247036,-35.23658694247036,0.0,7257.0
"Ellis County, Oklahoma",-45.80714285714286,-45.80714285714286,0.0,0.0,1.0,2384.0,-47.35001697205007,-69.58031036704779,-20.716655889068534,-23.743930901603562,0.0,581.0
"Ellis County, Texas",2988.539285714285,2988.539285714285,0.0,0.0,1.0,135862.0,294.4142857142857,294.4142857142857,0.0,0.0,1.0,15830.0
"Ellsworth County, Kansas",89.06446347769815,104.65318358112563,15.588720103426175,15.588720103426175,0.0,3957.0,-15.689285714285713,-15.689285714285713,0.0,0.0,1.0,915.0
"Elmore County, Alabama",385.73214285714295,385.73214285714295,0.0,0.0,1.0,54043.0,127.59642857142859,127.59642857142859,0.0,0.0,1.0,9365.0
"Elmore County, Idaho",-263.09999999999997,-263.09999999999997,0.0,0.0,1.0,16357.0,183.77142857142857,183.77142857142857,0.0,0.0,1.0,5359.0
"Emanuel County, Georgia",-150.475,-150.475,0.0,0.0,1.0,11204.0,-103.75937454588711,-157.97574313543737,-50.59092866799074,-57.84180850676057,0.0,3091.0
"Emery County, Utah",-71.32857142857141,-71.32857142857141,0.0,0.0,1.0,7371.0,"","","","","",1026.0
"Emmet County, Iowa",-156.78928571428568,-156.78928571428568,0.0,0.0,1.0,4840.0,141.64971561543643,191.3442408554256,46.31361775326695,53.075432735575305,0.0,2092.0
"Emmet County, Michigan",761.0414061695337,1054.9634415507317,273.8444838269934,313.99958689404593,0.0,22795.0,"","","","","",5838.0
"Emmons County, North Dakota",-19.467857142857138,-19.467857142857138,0.0,0.0,1.0,2385.0,"","","","","",672.0
"Emporia city, Virginia","","","","","",1860.0,25.099547511315905,35.639948287011066,10.54040077569477,10.54040077569477,0.0,942.0
"Erath County, Texas",336.66785714285714,336.66785714285714,0.0,0.0,1.0,25398.0,-317.9658209437912,-375.07619586298824,-57.110374919198875,-57.110374919198875,0.0,8086.0
